timestamp,open,high,low,close,volume
2004-05-31,24.2750,25.1225,22.7975,24.4250,124638044
2004-04-30,23.7500,25.4050,23.6525,24.0850,130680544
2004-03-31,22.6525,23.8500,22.3175,23.6600,152754144
2004-02-27,22.8150,23.5475,22.1250,22.6250,97613524
2004-01-30,22.5750,24.2125,22.5000,22.7975,140828032
2003-12-31,21.6500,23.0325,21.0300,22.5750,105386192
2003-11-28,19.9800,21.7250,19.8500,21.5250,128531300
2003-10-31,18.5800,20.3100,18.5800,19.9250,81244960
2003-09-30,19.1175,19.7350,18.1950,18.7375,83192988
2003-08-29,18.5125,19.2850,17.4500,19.0675,107527508
2003-07-31,18.5275,18.8000,17.7750,18.6675,69125624
2003-06-30,18.6250,19.9500,17.7225,18.6175,81507052
2003-05-30,19.2750,20.6925,18.1450,18.7000,63792772
2003-04-30,20.0875,21.7250,18.9550,19.2750,91555964
2003-03-31,18.6550,20.8850,17.9500,20.2000,64685404
2003-02-28,18.7775,19.3300,17.2000,18.6575,33233460
2003-01-31,20.5750,20.8750,17.6200,18.7775,66790112
2002-12-31,20.7475,21.2250,19.5150,20.5750,30722472
2002-11-29,19.1250,21.3000,18.7575,20.4700,51780008
2002-10-31,17.4850,19.9500,15.6200,19.2550,50070844
2002-09-30,17.9975,18.8650,16.0000,17.2750,68709160
2002-08-30,19.9375,20.5250,17.0000,18.1875,45068168
2002-07-31,20.7375,21.1750,17.0925,19.5000,76180624
2002-06-28,21.8750,22.1025,19.5000,20.8000,47610432
2002-05-31,18.8000,22.4825,18.8000,21.8125,65667308
2002-04-30,20.6725,20.9225,18.7800,18.8000,35856692
2002-03-29,18.5750,20.8125,18.4500,20.6725,63465588
2002-02-28,19.5025,20.0125,18.1500,18.7350,53892404
2002-01-31,21.0750,21.4625,18.6275,19.7475,54050268
2001-12-31,17.8125,21.1125,17.8000,21.0750,44290932
2001-11-30,15.7500,18.8575,14.7875,17.7850,52981652
2001-10-31,14.2500,16.9675,13.8625,15.6750,40697844
2001-09-28,18.3950,19.3750,11.5175,14.1600,90576536
2001-08-31,19.3225,19.5750,17.8700,18.6400,46168892
2001-07-31,18.2475,19.4125,17.2500,19.3000,40090676
